dataset,model,stage,batch_size,comparison,mean_a_mj,mean_b_mj,saving_pct,wilcoxon_p,effect_size_r,significant
HM Ranking,CatBoost,inference,100000,BF16 vs FP64,3572.9235,3498.1635,-2.14,0.21999,0.286,NO
HM Ranking,CatBoost,postprocessing,100,FP32 vs FP64,83.5749,83.3585,-0.26,0.14092,0.342,NO
HM Ranking,CatBoost,postprocessing,100,FP16 vs FP64,82.951,83.3585,0.49,0.95785,0.015,NO
HM Ranking,CatBoost,postprocessing,100,BF16 vs FP64,85.8754,83.3585,-3.02,0.63383,0.114,NO
HM Ranking,CatBoost,postprocessing,1000,FP32 vs FP64,84.166,84.3085,0.17,0.35252,0.218,NO
HM Ranking,CatBoost,postprocessing,1000,FP16 vs FP64,84.4133,84.3085,-0.12,0.89486,0.034,NO
HM Ranking,CatBoost,postprocessing,1000,BF16 vs FP64,81.1324,84.3085,3.77,0.47416,0.169,NO
HM Ranking,CatBoost,postprocessing,10000,FP32 vs FP64,95.0591,125.3354,24.16,0.00012,0.815,YES
HM Ranking,CatBoost,postprocessing,10000,FP16 vs FP64,126.9173,125.3354,-1.26,0.89486,0.034,NO
HM Ranking,CatBoost,postprocessing,10000,BF16 vs FP64,125.4437,125.3354,-0.09,0.71116,0.089,NO
HM Ranking,CatBoost,postprocessing,100000,FP32 vs FP64,605.6977,568.1234,-6.61,0.23036,0.28,NO
HM Ranking,CatBoost,postprocessing,100000,FP16 vs FP64,201.7402,568.1234,64.49,0.0,1.0,YES
HM Ranking,CatBoost,postprocessing,100000,BF16 vs FP64,217.5055,568.1234,61.72,0.0,1.0,YES
